name,max_players,max_playtime,min_age,min_players,min_playtime,playing_time,year_published,cat1,average_rating,users_rated,rating_adj_value
Catan,4,120,10,3,60,120,1995,Negotiation,7.26569,67655,0
Carcassonne,5,45,8,2,30,45,2000,Other,7.43536,67056,1
Pandemic,4,45,8,2,45,45,2008,Other,7.67234,62377,5
Dominion,4,30,13,2,30,30,2008,Card Game,7.69995,55930,NA
7 Wonders,7,30,10,2,30,30,2010,Card Game,7.83595,51688,9
Agricola,5,150,12,1,30,150,2007,Economic,8.05581,48261,2
Ticket to Ride,5,60,8,2,30,60,2004,Other,7.48301,48227,2
Puerto Rico,5,150,12,2,90,150,2002,Economic,8.09157,47789,9
Small World,5,80,8,2,40,80,2009,Fantasy,7.35735,43144,7
Power Grid,6,120,12,2,120,120,2004,Economic,7.94499,42036,7
Citadels,8,60,10,2,20,60,2000,Bluffing,7.14768,37607,2
King of Tokyo,6,30,8,2,30,30,2011,Other,7.30706,36394,6
Love Letter,4,20,10,2,20,20,2012,Card Game,7.32011,35776,8
Ticket to Ride: Europe,5,60,8,2,30,60,2005,Other,7.59192,35535,9
Race for the Galaxy,4,60,12,2,30,60,2007,Economic,7.77137,34242,NA
Dixit,6,30,6,3,30,30,2008,Card Game,7.35989,31078,0
Stone Age,4,90,10,2,60,90,2008,Other,7.6334,30432,10
Arkham Horror,8,240,12,1,120,240,2005,Adventure,7.35197,30050,8
Codenames,8,15,14,2,15,15,2015,Card Game,7.90348,29622,2
Splendor,4,30,10,2,30,30,2014,Economic,7.54035,29395,9
Lords of Waterdeep,5,120,12,2,60,120,2012,Fantasy,7.79639,28912,7
Munchkin,6,120,10,3,60,120,2001,Fantasy,5.95463,28807,8
Bohnanza,7,45,13,2,45,45,1997,Negotiation,7.06751,28354,5
Twilight Struggle,2,180,13,2,180,180,2005,Other,8.35801,27008,10
Forbidden Island,4,30,10,2,30,30,2010,Adventure,6.85993,26804,2
Lost Cities,2,30,10,2,30,30,1999,Card Game,7.14784,26686,6
The Resistance,10,30,13,5,30,30,2009,Bluffing,7.4311,25555,5
Battlestar Galactica,6,300,10,3,120,300,2008,Bluffing,7.77466,25372,9
The Castles of Burgundy,4,90,12,2,30,90,2011,Other,8.11212,24876,10
