country,continent,year,lifeExp,pop,gdpPercap,popmill
Afghanistan,Asia,1997,41.763,22227415,635.341351,22.227415
Albania,Europe,1997,72.95,3428038,3193.054604,3.428038
Algeria,Africa,1997,69.152,29072015,4797.295051,29.072015
Angola,Africa,1997,40.963,9875024,2277.140884,9.875024
Argentina,Americas,1997,73.275,36203463,10967.28195,36.203463
Australia,Oceania,1997,78.83,18565243,26997.93657,18.565243
Austria,Europe,1997,77.51,8069876,29095.92066,8.069876
Bahrain,Asia,1997,73.925,598561,20292.01679,0.598561
Bangladesh,Asia,1997,59.412,123315288,972.7700352,123.315288
Belgium,Europe,1997,77.53,10199787,27561.19663,10.199787
Benin,Africa,1997,54.777,6066080,1232.975292,6.06608
Bolivia,Americas,1997,62.05,7693188,3326.143191,7.693188
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,3.607
Botswana,Africa,1997,52.556,1536536,8647.142313,1.536536
Brazil,Americas,1997,69.388,168546719,7957.980824,168.546719
Bulgaria,Europe,1997,70.32,8066057,5970.38876,8.066057
Burkina Faso,Africa,1997,50.324,10352843,946.2949618,10.352843
Burundi,Africa,1997,45.326,6121610,463.1151478,6.12161
Cambodia,Asia,1997,56.534,11782962,734.28517,11.782962
Cameroon,Africa,1997,52.199,14195809,1694.337469,14.195809
Canada,Americas,1997,78.61,30305843,28954.92589,30.305843
Central African Republic,Africa,1997,46.066,3696513,740.5063317,3.696513
Chad,Africa,1997,51.573,7562011,1004.961353,7.562011
Chile,Americas,1997,75.816,14599929,10118.05318,14.599929
China,Asia,1997,70.426,1230075000,2289.234136,1230.075
Colombia,Americas,1997,70.313,37657830,6117.361746,37.65783
Comoros,Africa,1997,60.66,527982,1173.618235,0.527982
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423,47.798986
"Congo, Rep.",Africa,1997,52.962,2800947,3484.164376,2.800947
Costa Rica,Americas,1997,77.26,3518107,6677.045314,3.518107
Cote d'Ivoire,Africa,1997,47.991,14625967,1786.265407,14.625967
Croatia,Europe,1997,73.68,4444595,9875.604515,4.444595
Cuba,Americas,1997,76.151,10983007,5431.990415,10.983007
Czech Republic,Europe,1997,74.01,10300707,16048.51424,10.300707
Denmark,Europe,1997,76.11,5283663,29804.34567,5.283663
Djibouti,Africa,1997,53.157,417908,1895.016984,0.417908
Dominican Republic,Americas,1997,69.957,7992357,3614.101285,7.992357
Ecuador,Americas,1997,72.312,11911819,7429.455877,11.911819
Egypt,Africa,1997,67.217,66134291,4173.181797,66.134291
El Salvador,Americas,1997,69.535,5783439,5154.825496,5.783439
Equatorial Guinea,Africa,1997,48.245,439971,2814.480755,0.439971
Eritrea,Africa,1997,53.378,4058319,913.47079,4.058319
Ethiopia,Africa,1997,49.402,59861301,515.8894013,59.861301
Finland,Europe,1997,77.13,5134406,23723.9502,5.134406
France,Europe,1997,78.64,58623428,25889.78487,58.623428
Gabon,Africa,1997,60.461,1126189,14722.84188,1.126189
Gambia,Africa,1997,55.861,1235767,653.7301704,1.235767
Germany,Europe,1997,77.34,82011073,27788.88416,82.011073
Ghana,Africa,1997,58.556,18418288,1005.245812,18.418288
Greece,Europe,1997,77.869,10502372,18747.69814,10.502372
Guatemala,Americas,1997,66.322,9803875,4684.313807,9.803875
Guinea,Africa,1997,51.455,8048834,869.4497668,8.048834
Guinea-Bissau,Africa,1997,44.873,1193708,796.6644681,1.193708
Haiti,Americas,1997,56.671,6913545,1341.726931,6.913545
Honduras,Americas,1997,67.659,5867957,3160.454906,5.867957
"Hong Kong, China",Asia,1997,80,6495918,28377.63219,6.495918
Hungary,Europe,1997,71.04,10244684,11712.7768,10.244684
Iceland,Europe,1997,78.95,271192,28061.09966,0.271192
India,Asia,1997,61.765,959000000,1458.817442,959
Indonesia,Asia,1997,66.041,199278000,3119.335603,199.278
Iran,Asia,1997,68.042,63327987,8263.590301,63.327987
Iraq,Asia,1997,58.811,20775703,3076.239795,20.775703
Ireland,Europe,1997,76.122,3667233,24521.94713,3.667233
Israel,Asia,1997,78.269,5531387,20896.60924,5.531387
Italy,Europe,1997,78.82,57479469,24675.02446,57.479469
Jamaica,Americas,1997,72.262,2531311,7121.924704,2.531311
Japan,Asia,1997,80.69,125956499,28816.58499,125.956499
Jordan,Asia,1997,69.772,4526235,3645.379572,4.526235
Kenya,Africa,1997,54.407,28263827,1360.485021,28.263827
"Korea, Dem. Rep.",Asia,1997,67.727,21585105,1690.756814,21.585105
"Korea, Rep.",Asia,1997,74.647,46173816,15993.52796,46.173816
Kuwait,Asia,1997,76.156,1765345,40300.619960000004,1.765345
Lebanon,Asia,1997,70.265,3430388,8754.96385,3.430388
Lesotho,Africa,1997,55.558,1982823,1186.147994,1.982823
Liberia,Africa,1997,42.221,2200725,609.17395079999994,2.200725
Libya,Africa,1997,71.555,4759670,9467.446056,4.75967
Madagascar,Africa,1997,54.978,14165114,986.2958956,14.165114
Malawi,Africa,1997,47.495,10419991,692.2758103,10.419991
Malaysia,Asia,1997,71.938,20476091,10132.90964,20.476091
Mali,Africa,1997,49.903,9384984,790.2579846,9.384984
Mauritania,Africa,1997,60.43,2444741,1483.136136,2.444741
Mauritius,Africa,1997,70.736,1149818,7425.705295,1.149818
Mexico,Americas,1997,73.67,95895146,9767.29753,95.895146
Mongolia,Asia,1997,63.625,2494803,1902.2521,2.494803
Montenegro,Europe,1997,75.445,692651,6465.613349,0.692651
Morocco,Africa,1997,67.66,28529501,2982.101858,28.529501
Mozambique,Africa,1997,46.344,16603334,472.3460771,16.603334
Myanmar,Asia,1997,60.328,43247867,415,43.247867
Namibia,Africa,1997,58.909,1774766,3899.52426,1.774766
Nepal,Asia,1997,59.426,23001113,1010.892138,23.001113
Netherlands,Europe,1997,78.03,15604464,30246.13063,15.604464
New Zealand,Oceania,1997,77.55,3676187,21050.41377,3.676187
Nicaragua,Americas,1997,68.426,4609572,2253.023004,4.609572
Niger,Africa,1997,51.313,9666252,580.3052092,9.666252
Nigeria,Africa,1997,47.464,106207839,1624.941275,106.207839
Norway,Europe,1997,78.32,4405672,41283.16433,4.405672
Oman,Asia,1997,72.499,2283635,19702.05581,2.283635
Pakistan,Asia,1997,61.818,135564834,2049.350521,135.564834
Panama,Americas,1997,73.738,2734531,7113.692252,2.734531
Paraguay,Americas,1997,69.4,5154123,4247.400261,5.154123
Peru,Americas,1997,68.386,24748122,5838.347657,24.748122
Philippines,Asia,1997,68.564,75012988,2536.534925,75.012988000000007
Poland,Europe,1997,72.75,38654957,10159.58368,38.654957
Portugal,Europe,1997,75.97,10156415,17641.03156,10.156415
Puerto Rico,Americas,1997,74.917,3759430,16999.4333,3.75943
Reunion,Africa,1997,74.772,684810,6071.941411,0.68481
Romania,Europe,1997,69.72,22562458,7346.547557,22.562458
Rwanda,Africa,1997,36.087,7212583,589.9445051,7.212583
Sao Tome and Principe,Africa,1997,63.306,145608,1339.076036,0.145608
Saudi Arabia,Asia,1997,70.533,21229759,20586.69019,21.229759
Senegal,Africa,1997,60.187,9535314,1392.368347,9.535314
Serbia,Europe,1997,72.232,10336594,7914.320304,10.336594
Sierra Leone,Africa,1997,39.897,4578212,574.6481576,4.578212
Singapore,Asia,1997,77.158,3802309,33519.4766,3.802309
Slovak Republic,Europe,1997,72.71,5383010,12126.23065,5.38301
Slovenia,Europe,1997,75.13,2011612,17161.10735,2.011612
Somalia,Africa,1997,43.795,6633514,930.5964284,6.633514
South Africa,Africa,1997,60.236,42835005,7479.188244,42.835005
Spain,Europe,1997,78.77,39855442,20445.29896,39.855442
Sri Lanka,Asia,1997,70.457,18698655,2664.477257,18.698655
Sudan,Africa,1997,55.373,32160729,1632.210764,32.160729
